alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.05,0.2,0.0003039955,0.0000685086,0.0,resume_from_csv
0.05,0.21,0.0002452330,0.0000556085,0.0,resume_from_csv
0.05,0.22,0.0001825135,0.0000502357,0.0,resume_from_csv
0.05,0.23,0.0004652114,0.0000872293,0.0,resume_from_csv
0.05,0.24,0.0001629778,0.0000426479,0.0,resume_from_csv
0.05,0.25,0.0002051982,0.0000467839,0.0,resume_from_csv
0.05,0.26,0.0001621284,0.0000445308,0.0,resume_from_csv
0.05,0.27,0.0001653706,0.0000473616,0.0,resume_from_csv
0.05,0.28,0.0001569803,0.0000465439,0.0,resume_from_csv
0.05,0.29,0.0003614943,0.0000796512,0.0,resume_from_csv
0.05,0.3,0.0006402345,0.0000874958,0.0,resume_from_csv
0.05,0.31,0.0007010166,0.0000870068,0.0,resume_from_csv
0.05,0.32,0.0002394531,0.0000553706,0.0,resume_from_csv
0.05,0.33,0.0001662613,0.0000527666,0.0,resume_from_csv
0.05,0.34,0.0001425615,0.0000425299,0.0,resume_from_csv
0.05,0.35,0.0001297069,0.0000397629,0.0,resume_from_csv
0.05,0.36,0.0002765978,0.0000454776,0.0,resume_from_csv
0.05,0.37,0.0001079752,0.0000346948,0.0,resume_from_csv
0.05,0.38,0.0001023920,0.0000308468,0.0,resume_from_csv
0.05,0.39,0.0001013976,0.0000308354,0.0,resume_from_csv
0.05,0.4,0.0000957006,0.0000284486,0.0,resume_from_csv
0.05,0.41,0.0000943125,0.0000276941,0.0,resume_from_csv
0.05,0.42,0.0001237198,0.0000296392,0.0,resume_from_csv
0.05,0.43,0.0001110826,0.0000261952,0.0,resume_from_csv
0.05,0.44,0.0001521637,0.0000268382,0.0,resume_from_csv
0.05,0.45,0.0009037880,0.0000984993,0.0,resume_from_csv
0.05,0.46,0.0005026772,0.0000617833,0.0,resume_from_csv
0.05,0.47,0.0004965866,0.0000665552,0.0,resume_from_csv
0.05,0.48,0.0004924434,0.0000670840,0.0,resume_from_csv
0.05,0.49,0.0005693636,0.0000672573,0.0,resume_from_csv
0.05,0.5,0.0003294975,0.0000396063,0.0,resume_from_csv
0.05,0.51,0.0003669012,0.0000404873,0.0,resume_from_csv
0.05,0.52,0.0001275006,0.0000220028,0.0,resume_from_csv
0.05,0.53,0.0000822037,0.0000194544,0.0,resume_from_csv
0.05,0.54,0.0000799248,0.0000194538,0.0,resume_from_csv
0.05,0.55,0.0001285364,0.0000212146,0.0,resume_from_csv
0.05,0.56,0.0000812818,0.0000194511,0.0,resume_from_csv
0.05,0.57,0.0000787440,0.0000186075,0.0,resume_from_csv
0.05,0.58,0.0000754500,0.0000181146,0.0,resume_from_csv
0.05,0.59,0.0000715450,0.0000174609,0.0,resume_from_csv
0.05,0.6,0.0000675052,0.0000165518,0.0,resume_from_csv
0.05,0.61,0.0000667905,0.0000155129,0.0,resume_from_csv
0.05,0.62,0.0000676813,0.0000148489,0.0,resume_from_csv
0.05,0.63,0.0000676088,0.0000147589,0.0,resume_from_csv
0.05,0.64,0.0000659929,0.0000132842,0.0,resume_from_csv
0.05,0.65,0.0000630719,0.0000125070,0.0,resume_from_csv
0.05,0.66,0.0000595500,0.0000118008,0.0,resume_from_csv
0.05,0.67,0.0000565358,0.0000116936,0.0,resume_from_csv
0.05,0.68,0.0000646670,0.0000135969,0.0,resume_from_csv
0.05,0.69,0.0000825455,0.0000123631,0.0,resume_from_csv
0.05,0.7,0.0000588146,0.0000116377,0.0,resume_from_csv
0.05,0.71,0.0002334556,0.0000282504,0.0,resume_from_csv
0.05,0.72,0.0004824371,0.0000491457,0.0,resume_from_csv
0.05,0.73,0.0002117861,0.0000237174,0.0,resume_from_csv
0.05,0.74,0.0002070937,0.0000246559,0.0,resume_from_csv
