alpha,beta,relative_drift_%,wall_time_s,status
0.15,0.44,0.0087188685,4.0,ok
0.15,0.45,0.0072977655,4.4,ok
0.15,0.46,0.0184957668,4.2,ok
0.15,0.47,0.0179467859,4.5,ok
0.15,0.48,0.0122287097,4.0,ok
0.15,0.49,0.0109330505,3.8,ok
0.15,0.5,0.0122851636,3.7,ok
0.2,0.0,0.0007203141,4.7,ok
0.2,0.01,0.0007175778,4.7,ok
0.2,0.02,0.0007163030,4.7,ok
0.2,0.03,0.0007190081,5.0,ok
0.2,0.04,0.0008885743,4.7,ok
0.2,0.05,0.0008309985,4.7,ok
0.2,0.06,0.0007165828,4.7,ok
0.2,0.07,0.0007688830,4.6,ok
0.2,0.08,0.0007758067,4.6,ok
0.2,0.09,0.0008336001,4.6,ok
0.2,0.1,0.0011425609,4.7,ok
0.2,0.11,0.0011214170,4.7,ok
0.2,0.12,0.0010898358,4.7,ok
0.2,0.13,0.0007001549,5.1,ok
0.2,0.14,0.0006990770,5.0,ok
0.2,0.15,0.0006983359,5.0,ok
0.2,0.16,0.0006980146,5.0,ok
0.2,0.17,0.0008925130,4.6,ok
0.2,0.18,0.0009881998,4.7,ok
0.2,0.19,0.0009358374,4.7,ok
0.2,0.2,0.0008595430,5.0,ok
0.2,0.21,0.0010098620,4.9,ok
0.2,0.22,0.0010743407,5.0,ok
0.2,0.23,0.0008322839,5.1,ok
0.2,0.24,0.0018182658,4.7,ok
0.2,0.25,0.0041943589,4.7,ok
0.2,0.26,0.0007221075,4.7,ok
0.2,0.27,0.0020321291,5.0,ok
0.2,0.28,0.0088737239,4.4,ok
0.2,0.29,0.0035408664,4.5,ok
0.2,0.3,0.0065668854,4.9,ok
0.2,0.31,0.0023270349,4.7,ok
0.2,0.32,0.0068276843,4.6,ok
0.2,0.33,0.0047129746,4.7,ok
0.2,0.34,0.0027478782,4.7,ok
0.2,0.35,0.0054006214,4.6,ok
0.2,0.36,0.0074358305,4.7,ok
0.2,0.37,0.0104525974,4.1,ok
0.2,0.38,0.0090401764,4.1,ok
0.2,0.39,0.0128410321,4.2,ok
0.2,0.4,0.0130674315,3.9,ok
0.2,0.41,0.0121548427,3.9,ok
0.2,0.42,0.0112036179,4.2,ok
0.2,0.43,0.0106707125,3.9,ok
0.2,0.44,0.0086725387,3.9,ok
0.2,0.45,0.0135929129,4.4,ok
0.2,0.46,0.0180265501,4.1,ok
0.2,0.47,0.0174910243,4.2,ok
0.2,0.48,0.0135988919,4.1,ok
0.2,0.49,0.0103208508,3.9,ok
0.2,0.5,0.0119174871,3.7,ok
0.25,0.0,0.0007200135,4.7,ok
0.25,0.01,0.0007174845,5.0,ok
0.25,0.02,0.0007163444,5.0,ok
0.25,0.03,0.0007188527,5.0,ok
0.25,0.04,0.0008447110,4.6,ok
0.25,0.05,0.0007603321,4.7,ok
0.25,0.06,0.0007165725,4.7,ok
0.25,0.07,0.0007498016,5.0,ok
0.25,0.08,0.0007580831,4.7,ok
0.25,0.09,0.0007915403,4.6,ok
0.25,0.1,0.0010268185,4.6,ok
0.25,0.11,0.0010302700,4.6,ok
0.25,0.12,0.0009385322,4.7,ok
0.25,0.13,0.0007003000,4.7,ok
0.25,0.14,0.0006991392,4.7,ok
0.25,0.15,0.0006983359,4.7,ok
0.25,0.16,0.0006979317,4.7,ok
0.25,0.17,0.0008565372,4.6,ok
0.25,0.18,0.0009531464,4.7,ok
