0.000000000000000000e+00,2.046399619251514090e-01,1.917587161803703533e-01,2.022230254712334974e-01,1.997874986998850189e-01,2.006629974401295258e-01,1.985216069153558638e-01,2.020031765810189062e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.048957224322679183e-01,1.913072809507576910e-01,2.023397801332114387e-01,1.997784318669358350e-01,2.006987083601789457e-01,1.984399751248147326e-01,2.021145226298715070e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.051581734729593098e-01,1.908443488421298073e-01,2.024589522030249555e-01,1.997694176934074473e-01,2.007352624134240149e-01,1.983561920047689497e-01,2.022288843925182100e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.054272969211907440e-01,1.903699767090573369e-01,2.025804827556162702e-01,1.997604796020356899e-01,2.007726499693719968e-01,1.982702620159274565e-01,2.023462622870702277e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.057030741126444628e-01,1.898842229896400002e-01,2.027043113333204249e-01,1.997516415765767661e-01,2.008108611611031102e-01,1.981821897490591011e-01,2.024666567246851123e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.059854858398207367e-01,1.893871477119399849e-01,2.028303759485493574e-01,1.997429281567309478e-01,2.008498858868313364e-01,1.980919799260400516e-01,2.025900681079283727e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.062745123470977049e-01,1.888788125003599827e-01,2.029586130867531701e-01,1.997343644328357093e-01,2.008897138115480763e-01,1.979996374009041771e-01,2.027164968291030600e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.065701333257570771e-01,1.883592805819491178e-01,2.030889577096737231e-01,1.997259760403213291e-01,2.009303343687514620e-01,1.979051671608947904e-01,2.028459432685481290e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.068723279089824674e-01,1.878286167926194183e-01,2.032213432589056179e-01,1.997177891539222150e-01,2.009717367622643192e-01,1.978085743275158348e-01,2.029784077929068231e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.071810746668373560e-01,1.872868875832557067e-01,2.033557016597798417e-01,1.997098304816372627e-01,2.010139099681436947e-01,1.977098641575805171e-01,2.031138907533655835e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.074963516012300335e-01,1.867341610257005902e-01,2.034919633255855842e-01,1.997021272584322271e-01,2.010568427366848654e-01,1.976090420442558893e-01,2.032523924838648965e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.078181361408728833e-01,1.861705068185968981e-01,2.036300571621458833e-01,1.996947072396774714e-01,2.011005235945226566e-01,1.975061135181009064e-01,2.033939132992827747e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.081464051362435508e-01,1.855959962930685547e-01,2.037699105727627247e-01,1.996875986943140446e-01,2.011449408468331534e-01,1.974010842480965755e-01,2.035384534935922030e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.084811348545557719e-01,1.850107024182217619e-01,2.039114494635474173e-01,1.996808303977416488e-01,2.011900825796385239e-01,1.972939600426657503e-01,2.036860133379934656e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.088223009747477155e-01,1.844146998064468690e-01,2.040545982491523136e-01,1.996744316244213890e-01,2.012359366622180623e-01,1.971847468506808809e-01,2.038365930790226044e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.091698785824958606e-01,1.838080647185021677e-01,2.041992798589196134e-01,1.996684321401869799e-01,2.012824907496280624e-01,1.970734507624575527e-01,2.039901929366371713e-01,0.000000000000000000e+00
